Average BPM,Time (hh:mm:ss),Date,fatigue
151,3960.0,2024-01-22,Aerobic
154,4020.0,2024-01-22,Aerobic
121,0.0,2024-01-23,Normal
126,60.0,2024-01-23,Normal
118,120.0,2024-01-23,Normal
129,180.0,2024-01-23,Normal
179,240.0,2024-01-23,Maximum
190,300.0,2024-01-23,Maximum
186,360.0,2024-01-23,Maximum
198,420.0,2024-01-23,Maximum
164,480.0,2024-01-23,Anaerobic
142,540.0,2024-01-23,Aerobic
136,600.0,2024-01-23,Normal
130,660.0,2024-01-23,Normal
136,720.0,2024-01-23,Normal
126,780.0,2024-01-23,Normal
143,840.0,2024-01-23,Aerobic
144,900.0,2024-01-23,Aerobic
151,960.0,2024-01-23,Aerobic
155,1020.0,2024-01-23,Aerobic
159,1080.0,2024-01-23,Anaerobic
151,1140.0,2024-01-23,Aerobic
157,1200.0,2024-01-23,Aerobic
140,1260.0,2024-01-23,Aerobic
121,1320.0,2024-01-23,Normal
128,1380.0,2024-01-23,Normal
123,1440.0,2024-01-23,Normal
121,1500.0,2024-01-23,Normal
122,1560.0,2024-01-23,Normal
122,1620.0,2024-01-23,Normal
130,1680.0,2024-01-23,Normal
139,1740.0,2024-01-23,Aerobic
130,1800.0,2024-01-23,Normal
118,1860.0,2024-01-23,Normal
137,1920.0,2024-01-23,Aerobic
159,1980.0,2024-01-23,Anaerobic
172,2040.0,2024-01-23,Anaerobic
182,2100.0,2024-01-23,Maximum
161,2160.0,2024-01-23,Anaerobic
174,2220.0,2024-01-23,Anaerobic
189,2280.0,2024-01-23,Maximum
187,2340.0,2024-01-23,Maximum
193,2400.0,2024-01-23,Maximum
171,2460.0,2024-01-23,Anaerobic
174,2520.0,2024-01-23,Anaerobic
172,2580.0,2024-01-23,Anaerobic
194,2640.0,2024-01-23,Maximum
187,2700.0,2024-01-23,Maximum
190,2760.0,2024-01-23,Maximum
155,2820.0,2024-01-23,Aerobic
132,2880.0,2024-01-23,Normal
172,2940.0,2024-01-23,Anaerobic
187,3000.0,2024-01-23,Maximum
150,3060.0,2024-01-23,Aerobic
